Symbol,Name,Error,TotalScore,Growth,Profitability,Stability,Activity,Links
296640,이노룰스,,65.89999999999999,,49.3,81.4,67.0,"<a href=""https://m.stock.naver.com/domestic/stock/296640/total"" target=""_blank"">Naver Mobile</a>"
189860,서전기전,,65.875,82.0,42.5,49.8,89.2,"<a href=""https://m.stock.naver.com/domestic/stock/189860/total"" target=""_blank"">Naver Mobile</a>"
267320,나인테크,,65.875,83.3,56.3,68.2,55.7,"<a href=""https://m.stock.naver.com/domestic/stock/267320/total"" target=""_blank"">Naver Mobile</a>"
054050,농우바이오,,65.85000000000001,68.0,64.9,91.9,38.6,"<a href=""https://m.stock.naver.com/domestic/stock/054050/total"" target=""_blank"">Naver Mobile</a>"
032750,삼진,,65.85,50.0,50.1,86.2,77.1,"<a href=""https://m.stock.naver.com/domestic/stock/032750/total"" target=""_blank"">Naver Mobile</a>"
064260,다날,,65.825,66.7,44.1,76.7,75.8,"<a href=""https://m.stock.naver.com/domestic/stock/064260/total"" target=""_blank"">Naver Mobile</a>"
026940,부국철강,,65.825,50.0,46.0,98.8,68.5,"<a href=""https://m.stock.naver.com/domestic/stock/026940/total"" target=""_blank"">Naver Mobile</a>"
016670,디모아,,65.825,72.6,49.2,66.5,75.0,"<a href=""https://m.stock.naver.com/domestic/stock/016670/total"" target=""_blank"">Naver Mobile</a>"
032300,한국파마,,65.825,67.0,55.3,84.0,57.0,"<a href=""https://m.stock.naver.com/domestic/stock/032300/total"" target=""_blank"">Naver Mobile</a>"
079160,CJ CGV,,65.80000000000001,77.4,51.9,52.5,81.4,"<a href=""https://m.stock.naver.com/domestic/stock/079160/total"" target=""_blank"">Naver Mobile</a>"
096760,JW홀딩스,,65.8,72.2,59.8,71.1,60.1,"<a href=""https://m.stock.naver.com/domestic/stock/096760/total"" target=""_blank"">Naver Mobile</a>"
298000,효성화학,,65.8,83.7,42.5,51.5,85.5,"<a href=""https://m.stock.naver.com/domestic/stock/298000/total"" target=""_blank"">Naver Mobile</a>"
002710,TCC스틸,,65.775,66.7,48.7,70.2,77.5,"<a href=""https://m.stock.naver.com/domestic/stock/002710/total"" target=""_blank"">Naver Mobile</a>"
010620,HD현대미포,,65.725,59.0,42.5,70.3,91.1,"<a href=""https://m.stock.naver.com/domestic/stock/010620/total"" target=""_blank"">Naver Mobile</a>"
001250,GS글로벌,,65.725,50.6,52.8,68.6,90.9,"<a href=""https://m.stock.naver.com/domestic/stock/001250/total"" target=""_blank"">Naver Mobile</a>"
060540,에스에이티,,65.725,50.0,47.5,77.2,88.2,"<a href=""https://m.stock.naver.com/domestic/stock/060540/total"" target=""_blank"">Naver Mobile</a>"
008420,문배철강,,65.725,50.0,60.0,79.1,73.8,"<a href=""https://m.stock.naver.com/domestic/stock/008420/total"" target=""_blank"">Naver Mobile</a>"
